"parliamentarian_id","interest_categories_id","title"
1125,8,"Schweizer Dachverband Lesen und Schreiben"
1125,23,"Kaufmännischer Verband Winterthur"
1127,4,"Autorité de surveillance LPP et des fondations de Suisse occidentale"
1127,14,"Fondation Eustach et Maria Bregy"
1129,4,"Schweizerische Pfadistiftung, Basel"
1129,8,"IAMANEH Schweiz"
1129,22,"Stiftung für das Oekumenische Zentrum der Psychiatrischen Universitätsklinik Basel"
1129,22,"Universitätsspital Basel"
1129,23,"Schweizerischer Verband des Personals öffentliche Dienste (VPOD)"
1131,4,"MieterInnenverband Kanton Bern (MVB)"
1131,4,"Tägerverein Velo-Initiative, Bern"
1131,12,"Solar Agentur Schweiz"
1131,20,"Schweizerische Verkehrs-Stiftung (SVS), Herzogenbuchsee"
1131,20,"Verkehrs-club der Schweiz (VCS), Herzogenbuchsee"
1131,25,"Informationsdienst für den öffentlichen Verkehr (LITRA), Bern"
1133,1,"Association suisse du goûts"
1133,1,"Robert Gilliard SA, Sion"
1133,1,"IG Mineralwasser"
1133,4,"Hospice du Grand-St-Bernard"
1133,4,"Touring Club Suisse (TCS)"
1133,8,"Fondation Saint-Raphaël"
1133,8,"Institut St. Raphaël, Champlan"
1133,10,"Eco musée Simplon, Brig"
1133,10,"Fédération Suisse des Casinos (FSC), Berne"
1133,10,"Fête fédérale de tir 2015"
1133,12,"EnAlpin SA, Visp"
1133,13,"Institut international des droits de l'enfant (IDE), Sion"
1133,24,"Car Tourisme Suisse"
1133,24,"Enclos de Valère SA, Sion"
1133,24,"GastroSuisse, Zürich"
1133,25,"ASTAG Association suisse des transports routiers, Berne"
1135,10,"Swiss Olympic (Exekutivrat)"
1135,11,"Adrian Amstutz, Schwanden ob Sigriswil"
1135,11,"Amstutz Abplanalp Birri AG, Sigriswil"
1135,12,"Arbeitsgruppe Swisselectric - Ausschuss nukleare Entsorgung"
1135,15,"a+b Liegenschaften AG, Sigriswil"
1135,19,"Stiftung SVP-Parteizeitung"
1135,22,"Schweizerische Rettungsflugwacht (Rega), Kloten"
1135,25,"ASTAG Schweizerischer Nutzfahrzeugverband, Bern"
1137,1,"Landwirtschaftliche Genossenschaft Wartau, Trübbach"
1137,2,"Tripartite Kommission des Kantons St. Gallen"
1137,4,"Swiss Label, Gesellschaft zur Promotion von Schweizer Produkten und Dienstleistungen, Bern"
1137,4,"Schweizerischer Zivilschutzverband"
1137,4,"Schweizerisches Kompetenzzentrum für Menschenrechte (SKMR)"
1137,18,"Bodenseerat"
1137,19,"IG Freiheit"
1137,24,"Trägerverein Culinarium, St. Gallen"
1138,3,"Pensionskasse der Stadt Dübendorf"
1138,4,"Association Machbarkeit Stiftung Forschung Schweiz, Bern"
1138,11,"Bäumle Messungen und Beratungen"
1138,12,"EKZ Elektrizitätswerke des Kantons Zürich"
1138,12,"EKZ Elektrizitätswerke des Kantons Zürich"
1138,12,"Energiedienst Holding AG, Laufenburg (Sachverständiger Beirat)"
1138,12,"Schweizerische Energiestiftung (SES), Zürich"
1138,12,"Wirtschaftsverband swisscleantech (Politischer Beirat)"
1138,14,"Stiftung Weiterbildungskurse Dübendorf"
1138,17,"Glattwerk AG, Dübendorf"
1138,18,"Swiss Innovation Park"
1138,20,"Greencross Schweiz, Zürich"
1139,3,"Ausschuss Campaigning des Schweizerischen Versicherungsverbandes (SVV)"
1139,10,"Skigruppe der Bundesversammlung"
1139,11,"Bit media Schweiz AG, Basel"
1139,19,"Parlamentarischer Verein Schweiz-USA"
1141,4,"Automobil Club der Schweiz (ACS), Sektion Mittelland"
1141,9,"Philipp Müller Generalunternehmung Immobilien"
1141,19,"Verein FDP-Kampagnen"
1142,2,"Gewerbeverein Niederamt"
1142,4,"Aktion für eine unabhängige und neutrale Schweiz (AUNS)"
1142,4,"Parteiunabhängiges Informationskomitee (PIKOM)"
1142,4,"Föderation Motorradfahrer der Schweiz (FMS)"
1142,4,"IG Motorrad"
1142,4,"Hauseigentümerverband (HEV) Kanton Solothurn"
1142,4,"Vereinigung Sifa, ""Sicherheit für alle"", Flaach"
1142,4,"Pro Libertate"
1142,4,"Nationale Verkehrskommission ACS"
1142,17,"Medien Panoptikum"
