"parliamentarian_id","bill_id","political_action_categories_id"
3923,"12.3061",11
3923,"12.3062",10
3923,"12.3062",11
3923,"12.3063",10
3923,"12.3063",11
3923,"12.3599",4
3923,"12.3599",10
3923,"14.4127",3
3923,"14.4127",12
3923,"14.4210",20
3923,"15.3238",9
3924,"12.3566",10
3924,"12.3566",11
3924,"13.3348",4
3924,"13.3614",4
3924,"13.3683",6
3924,"13.3683",7
3924,"15.3363",16
3931,"12.3215",7
3931,"13.3813",9
3931,"13.3813",20
3931,"13.4070",9
3931,"14.4199",2
3931,"14.4199",13
4007,"11.4074",20
4007,"11.4094",10
4007,"11.4094",11
4007,"12.3101",4
4007,"12.3817",4
4007,"12.4012",6
4007,"12.4012",13
4007,"13.3131",6
4007,"13.3132",6
4007,"13.3428",2
4007,"13.3428",16
4007,"14.3139",4
4007,"14.3139",10
4007,"14.3800",21
4007,"14.3805",18
4007,"14.3805",21
4007,"15.3095",14
4007,"15.3095",19
4008,"12.4134",20
4008,"14.3818",7
4008,"14.3830",7
4018,"11.4117",10
4018,"11.4117",11
4018,"12.3210",5
4018,"12.3210",19
4018,"12.3703",4
4018,"12.3828",3
4018,"12.3828",13
4018,"12.4115",5
4018,"13.3305",5
4018,"13.3322",5
4018,"14.3407",4
4018,"14.3407",5
4018,"14.3407",20
4018,"14.3468",9
4018,"14.3468",20
4018,"14.4091",21
4018,"15.3100",4
4018,"15.3100",9
4018,"15.3101",4
4018,"15.3102",4
4025,"12.3546",14
4025,"12.4264",2
4025,"12.4264",9
4025,"13.3268",9
4025,"13.3269",14
4025,"13.3591",13
4030,"12.3242",1
4030,"13.3931",16
4030,"13.3973",10
4030,"14.3254",4
4030,"14.3973",10
4031,"11.4194",21
4031,"12.4018",14
4031,"13.3157",10
4031,"13.3158",19
4031,"13.3422",4
4031,"13.3848",9
4031,"13.3848",14
4031,"14.3191",4
4031,"14.3191",10
4032,"11.4209",2
4032,"11.4209",17
4032,"11.4209",17
4032,"12.3960",20
4032,"13.3271",6
4032,"13.3557",6
4032,"13.3921",1
4032,"13.3921",7
4032,"13.3924",1
4032,"14.3262",6
4032,"14.3262",7
4032,"14.3262",9
4032,"14.3372",1
4032,"14.4231",1
4032,"14.4231",7
4032,"15.3318",6
4036,"11.4125",10
4036,"12.3778",9
4036,"12.4162",16
4036,"13.3062",5
4036,"13.3062",19
4036,"14.3188",10
4036,"14.3824",3
4036,"14.3824",14
4036,"14.4183",16
4040,"11.4104",5
4040,"12.3475",4
4040,"13.3325",4
4040,"13.3595",4
4040,"13.3595",12
4040,"13.3697",20
4040,"14.3126",20
4040,"14.3492",2
4040,"14.3492",13
4040,"14.3493",2
4040,"14.4095",19
4040,"14.4118",4
4040,"14.4118",14
4040,"14.4250",13
4042,"12.3050",13
4042,"13.3125",20
4042,"13.3505",9
4042,"13.3505",21
4042,"13.3826",16
4042,"13.3826",20
4042,"14.3021",12
4042,"14.3021",16
4042,"14.3453",9
4042,"14.3453",16
4042,"14.3453",20
4042,"14.3478",3
4042,"14.3478",4
4042,"14.3478",20
4042,"14.3799",16
4042,"14.3799",20
4045,"12.3693",4
4045,"13.3029",13
4045,"13.3068",4
4045,"13.3068",5
4045,"13.3121",17
4045,"13.3121",17
4045,"14.4067",4
4045,"14.4067",9
4045,"14.4068",4
4045,"14.4068",9
4045,"14.4069",9
4045,"15.3167",21
4046,"12.3127",4
4046,"12.3488",12
4046,"12.3993",9
4046,"12.4048",4
4046,"12.4048",9
4046,"13.3104",4
4046,"13.3104",8
4046,"13.3323",12
4046,"13.3464",21
4046,"13.3465",4
4046,"13.3466",9
4046,"13.3466",20
